Group[0]
Name=      0_26 : profit=240, weight= 68
Name=      0_30 : profit=239, weight= 69
Name=      0_28 : profit=236, weight= 68
Name=      0_27 : profit=218, weight= 62
Name=      0_29 : profit=217, weight= 65
Name=      0_21 : profit=182, weight= 56
Name=      0_25 : profit=177, weight= 57
Name=      0_22 : profit=176, weight= 57
Name=      0_24 : profit=176, weight= 57
Name=      0_23 : profit=172, weight= 56
Name=      0_20 : profit=142, weight= 54
Name=      0_16 : profit=141, weight= 51
Name=      0_18 : profit=136, weight= 50
Name=      0_17 : profit=132, weight= 50
Name=      0_19 : profit=120, weight= 46
Name=      0_11 : profit= 99, weight= 43
Name=      0_13 : profit= 80, weight= 34
Name=      0_14 : profit= 76, weight= 33
Name=      0_12 : profit= 72, weight= 30
Name=      0_15 : profit= 70, weight= 31
Name=       0_8 : profit= 57, weight= 28
Name=      0_10 : profit= 49, weight= 24
Name=       0_6 : profit= 38, weight= 16
Name=       0_9 : profit= 37, weight= 18
Name=       0_7 : profit= 30, weight= 15
Name=       0_1 : profit= 14, weight=  8
Name=       0_3 : profit= 12, weight=  8
Name=       0_5 : profit= 11, weight=  6
Name=       0_2 : profit= 10, weight=  8
Name=       0_4 : profit=  8, weight= 12
Group[1]
Name=      1_28 : profit=152, weight= 55
Name=      1_26 : profit=147, weight= 61
Name=      1_30 : profit=142, weight= 51
Name=      1_29 : profit=136, weight= 47
Name=      1_27 : profit=129, weight= 46
Name=      1_23 : profit= 86, weight= 45
Name=      1_21 : profit= 85, weight= 45
Name=      1_25 : profit= 74, weight= 40
Name=      1_22 : profit= 69, weight= 40
Name=      1_24 : profit= 69, weight= 40
Name=      1_16 : profit= 61, weight= 39
Name=      1_17 : profit= 46, weight= 35
Name=      1_19 : profit= 45, weight= 34
Name=      1_20 : profit= 44, weight= 37
Name=      1_18 : profit= 42, weight= 32
Name=      1_15 : profit= 37, weight= 29
Name=      1_12 : profit= 32, weight= 30
Name=      1_11 : profit= 29, weight= 21
Name=      1_13 : profit= 29, weight= 21
Name=      1_10 : profit= 26, weight= 17
Name=      1_14 : profit= 23, weight= 25
Name=       1_7 : profit= 17, weight= 14
Name=       1_8 : profit= 16, weight= 19
Name=       1_9 : profit= 13, weight= 13
Name=       1_2 : profit= 12, weight=  7
Name=       1_4 : profit= 11, weight= 10
Name=       1_6 : profit= 11, weight= 13
Name=       1_3 : profit= 10, weight=  5
Name=       1_5 : profit= 10, weight=  8
Name=       1_1 : profit=  8, weight=  9
Group[2]
Name=      2_21 : profit=120, weight= 54
Name=      2_28 : profit=120, weight= 55
Name=      2_29 : profit=119, weight= 64
Name=      2_30 : profit=115, weight= 57
Name=      2_27 : profit=110, weight= 60
Name=      2_25 : profit=106, weight= 52
Name=      2_26 : profit=104, weight= 55
Name=      2_24 : profit= 92, weight= 48
Name=      2_22 : profit= 87, weight= 46
Name=      2_23 : profit= 85, weight= 49
Name=      2_18 : profit= 59, weight= 40
Name=      2_16 : profit= 57, weight= 40
Name=      2_19 : profit= 53, weight= 40
Name=      2_20 : profit= 48, weight= 38
Name=      2_15 : profit= 43, weight= 34
Name=      2_13 : profit= 41, weight= 34
Name=      2_17 : profit= 37, weight= 36
Name=      2_12 : profit= 34, weight= 33
Name=      2_11 : profit= 32, weight= 34
Name=      2_14 : profit= 29, weight= 34
Name=       2_7 : profit= 28, weight= 21
Name=       2_6 : profit= 22, weight= 23
Name=       2_9 : profit= 22, weight= 20
Name=      2_10 : profit= 21, weight= 20
Name=       2_8 : profit= 20, weight= 20
Name=       2_3 : profit= 12, weight= 13
Name=       2_4 : profit= 11, weight= 12
Name=       2_5 : profit=  7, weight=  6
Name=       2_2 : profit=  6, weight=  7
Name=       2_1 : profit=  4, weight=  8
Group[3]
Name=      3_26 : profit=250, weight= 58
Name=      3_30 : profit=246, weight= 55
Name=      3_27 : profit=233, weight= 50
Name=      3_29 : profit=223, weight= 51
Name=      3_28 : profit=212, weight= 48
Name=      3_21 : profit=156, weight= 45
Name=      3_22 : profit=146, weight= 39
Name=      3_23 : profit=143, weight= 41
Name=      3_24 : profit=143, weight= 44
Name=      3_25 : profit=143, weight= 41
Name=      3_20 : profit=115, weight= 36
Name=      3_19 : profit=105, weight= 37
Name=      3_18 : profit=100, weight= 32
Name=      3_17 : profit= 94, weight= 33
Name=      3_16 : profit= 92, weight= 34
